Customer_ID,Customer_Name,City,Age,Gender,Last_Purchase,Frequency,Monetary,Avg_Order_Value,Fav_Category,Recency_Days,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST1175,Customer_472,Gaya,20,Female,2025-01-07,1,113673.3,113673.3,Fashion,360,1,1,3,5,Needs Attention
CUST1183,Customer_189,Gaya,20,Female,2025-07-06,1,49324.8,49324.8,Furniture,180,3,1,2,6,Recent Low-Engagement
CUST1189,Customer_490,Pune,39,Female,2025-08-30,1,36307.74,36307.74,Fashion,125,3,1,1,5,Recent Low-Engagement
CUST1197,Customer_419,Pune,36,Male,2025-02-12,1,5944.12,5944.12,Education,324,1,1,1,3,Lost / Churned
CUST1215,Customer_19,Gaya,35,Male,2025-01-26,1,10367.0,10367.0,Furniture,341,1,1,1,3,Lost / Churned
CUST1231,Customer_339,Patna,53,Male,2026-01-01,1,187087.76,187087.76,Grocery,1,4,1,3,8,Loyal High-Value
CUST1246,Customer_165,Kolkata,59,Female,2025-12-17,1,2094.36,2094.36,Electronics,16,4,1,1,6,Recent Low-Engagement
CUST1252,Customer_81,Pune,24,Male,2025-03-02,1,112029.57,112029.57,Fashion,306,1,1,2,4,Lost / Churned
CUST1253,Customer_334,Gaya,32,Female,2025-05-31,1,87892.59,87892.59,Electronics,216,2,1,2,5,Lost / Churned
CUST1256,Customer_279,Kolkata,34,Male,2025-06-16,1,242289.7,242289.7,Electronics,200,2,1,4,7,Needs Attention
CUST1258,Customer_443,Hyderabad,40,Male,2025-05-18,1,47389.09,47389.09,Electronics,229,2,1,1,4,Lost / Churned
CUST1269,Customer_423,Gaya,22,Female,2025-06-30,1,80421.12,80421.12,Education,186,2,1,2,5,Lost / Churned
CUST1284,Customer_375,Bengaluru,31,Male,2025-02-28,1,105461.08,105461.08,Electronics,308,1,1,2,4,Lost / Churned
CUST1312,Customer_40,Kolkata,30,Male,2025-04-16,1,144194.72,144194.72,Electronics,261,2,1,3,6,Needs Attention
CUST1316,Customer_3,Delhi,37,Female,2025-05-12,1,16249.69,16249.69,Electronics,235,2,1,1,4,Lost / Churned
CUST1334,Customer_364,Kolkata,31,Male,2025-11-07,1,34200.58,34200.58,Fashion,56,4,1,1,6,Recent Low-Engagement
CUST1339,Customer_107,Kolkata,54,Male,2025-07-31,1,203324.1,203324.1,Education,155,3,1,3,7,Loyal High-Value
CUST1357,Customer_361,Delhi,48,Male,2025-02-13,1,195601.44,195601.44,Fashion,323,1,1,3,5,Needs Attention
CUST1367,Customer_48,Bengaluru,21,Female,2025-05-04,1,43529.29,43529.29,Education,243,2,1,1,4,Lost / Churned
CUST1396,Customer_479,Pune,34,Male,2025-08-12,1,21572.48,21572.48,Furniture,143,3,1,1,5,Recent Low-Engagement
CUST1399,Customer_431,Gaya,60,Male,2025-01-28,1,74022.24,74022.24,Education,339,1,1,2,4,Lost / Churned
CUST1401,Customer_151,Delhi,35,Male,2025-10-02,1,254734.06,254734.06,Grocery,92,3,1,4,8,Loyal High-Value
CUST1406,Customer_499,Gaya,52,Male,2025-11-23,1,315765.0,315765.0,Fashion,40,4,1,4,9,Loyal High-Value
CUST1419,Customer_226,Mumbai,28,Male,2025-06-12,1,54878.34,54878.34,Grocery,204,2,1,2,5,Lost / Churned
CUST1433,Customer_391,Mumbai,47,Female,2025-12-04,1,108470.6,108470.6,Fashion,29,4,1,2,7,Recent Low-Engagement
CUST1436,Customer_144,Delhi,60,Female,2025-11-27,1,19590.5,19590.5,Electronics,36,4,1,1,6,Recent Low-Engagement
CUST1442,Customer_371,Pune,22,Female,2025-03-16,1,27918.98,27918.98,Education,292,1,1,1,3,Lost / Churned
CUST1443,Customer_315,Patna,37,Female,2025-12-07,1,25336.7,25336.7,Grocery,26,4,1,1,6,Recent Low-Engagement
CUST1452,Customer_68,Hyderabad,62,Female,2025-02-13,1,266207.48,266207.48,Fashion,323,1,1,4,6,Needs Attention
CUST1453,Customer_60,Gaya,51,Male,2025-05-05,1,42816.6,42816.6,Fashion,242,2,1,1,4,Lost / Churned
CUST1463,Customer_397,Bengaluru,21,Female,2025-08-19,2,173654.34000000003,86827.17000000001,Electronics,136,3,4,3,10,Champions
CUST1468,Customer_266,Kolkata,49,Female,2025-07-07,1,359775.2,359775.2,Fashion,179,3,1,4,8,Loyal High-Value
CUST1479,Customer_375,Bengaluru,35,Female,2025-08-06,1,317305.7,317305.7,Furniture,149,3,1,4,8,Loyal High-Value
CUST1481,Customer_40,Patna,40,Female,2025-10-15,1,78764.8,78764.8,Furniture,79,4,1,2,7,Recent Low-Engagement
CUST1516,Customer_148,Mumbai,52,Male,2025-05-07,1,199641.96,199641.96,Electronics,240,2,1,3,6,Needs Attention
CUST1528,Customer_170,Patna,46,Male,2025-03-21,1,48389.92,48389.92,Electronics,287,1,1,2,4,Lost / Churned
CUST1557,Customer_87,Mumbai,39,Female,2025-02-27,1,123371.82,123371.82,Furniture,309,1,1,3,5,Needs Attention
CUST1565,Customer_353,Delhi,27,Female,2025-10-22,1,80289.8,80289.8,Education,72,4,1,2,7,Recent Low-Engagement
CUST1577,Customer_59,Delhi,37,Male,2025-02-16,1,36943.51,36943.51,Fashion,320,1,1,1,3,Lost / Churned
CUST1603,Customer_434,Mumbai,37,Female,2025-03-16,1,136560.28,136560.28,Electronics,292,1,1,3,5,Needs Attention
CUST1611,Customer_451,Patna,49,Male,2025-11-05,1,46050.0,46050.0,Grocery,58,4,1,1,6,Recent Low-Engagement
CUST1614,Customer_267,Bengaluru,52,Female,2025-02-13,1,74620.36,74620.36,Education,323,1,1,2,4,Lost / Churned
CUST1616,Customer_288,Delhi,44,Female,2025-08-24,1,99704.97,99704.97,Electronics,131,3,1,2,6,Recent Low-Engagement
CUST1618,Customer_166,Patna,41,Male,2025-09-27,1,158916.6,158916.6,Grocery,97,3,1,3,7,Loyal High-Value
CUST1636,Customer_243,Patna,63,Female,2025-09-14,1,52698.94,52698.94,Furniture,110,3,1,2,6,Recent Low-Engagement
CUST1637,Customer_70,Patna,59,Male,2025-12-20,1,20669.3,20669.3,Grocery,13,4,1,1,6,Recent Low-Engagement
CUST1658,Customer_324,Hyderabad,52,Male,2025-06-04,1,193777.92,193777.92,Grocery,212,2,1,3,6,Needs Attention
CUST1662,Customer_365,Pune,31,Female,2025-08-01,1,96526.71,96526.71,Education,154,3,1,2,6,Recent Low-Engagement
CUST1673,Customer_103,Gaya,18,Male,2025-07-20,1,175604.15,175604.15,Grocery,166,3,1,3,7,Loyal High-Value
CUST1681,Customer_160,Delhi,60,Male,2025-07-16,1,140328.85,140328.85,Fashion,170,3,1,3,7,Loyal High-Value
CUST1691,Customer_177,Mumbai,55,Male,2025-10-08,1,14209.86,14209.86,Electronics,86,3,1,1,5,Recent Low-Engagement
CUST1710,Customer_355,Hyderabad,46,Female,2025-09-17,1,440456.6,440456.6,Education,107,3,1,4,8,Loyal High-Value
CUST1711,Customer_36,Bengaluru,20,Female,2025-07-13,1,490866.4,490866.4,Fashion,173,3,1,4,8,Loyal High-Value
CUST1713,Customer_457,Bengaluru,27,Female,2025-08-08,1,31739.18,31739.18,Fashion,147,3,1,1,5,Recent Low-Engagement
CUST1743,Customer_222,Hyderabad,56,Male,2025-09-08,1,161107.04,161107.04,Fashion,116,3,1,3,7,Loyal High-Value
CUST1753,Customer_493,Hyderabad,58,Female,2025-05-21,1,3239.94,3239.94,Fashion,226,2,1,1,4,Lost / Churned
CUST1758,Customer_335,Patna,61,Male,2025-10-14,1,299985.18,299985.18,Electronics,80,4,1,4,9,Loyal High-Value
CUST1759,Customer_71,Delhi,64,Female,2025-08-13,1,109150.3,109150.3,Electronics,142,3,1,2,6,Recent Low-Engagement
CUST1762,Customer_141,Delhi,27,Male,2025-07-29,1,123899.8,123899.8,Education,157,3,1,3,7,Loyal High-Value
CUST1764,Customer_47,Hyderabad,24,Male,2025-12-23,1,51751.06,51751.06,Electronics,10,4,1,2,7,Recent Low-Engagement
CUST1766,Customer_319,Kolkata,27,Male,2025-03-05,1,7119.05,7119.05,Electronics,303,1,1,1,3,Lost / Churned
CUST1779,Customer_378,Delhi,65,Female,2025-06-03,1,166613.7,166613.7,Fashion,213,2,1,3,6,Needs Attention
CUST1780,Customer_250,Hyderabad,64,Male,2025-05-31,1,105473.12,105473.12,Education,216,2,1,2,5,Lost / Churned
CUST1790,Customer_12,Hyderabad,43,Male,2025-03-31,1,12225.22,12225.22,Electronics,277,1,1,1,3,Lost / Churned
CUST1806,Customer_354,Patna,58,Male,2025-06-07,1,64332.45,64332.45,Furniture,209,2,1,2,5,Lost / Churned
CUST1808,Customer_150,Patna,56,Male,2025-10-21,1,218701.12,218701.12,Furniture,73,4,1,4,9,Loyal High-Value
CUST1822,Customer_174,Kolkata,39,Male,2025-10-07,1,121853.1,121853.1,Electronics,87,3,1,3,7,Loyal High-Value
CUST1833,Customer_357,Gaya,63,Male,2025-12-28,1,111006.18,111006.18,Education,5,4,1,2,7,Recent Low-Engagement
CUST1835,Customer_81,Gaya,61,Female,2025-12-25,1,64865.3,64865.3,Furniture,8,4,1,2,7,Recent Low-Engagement
CUST1840,Customer_90,Kolkata,43,Female,2025-01-01,1,23787.6,23787.6,Electronics,366,1,1,1,3,Lost / Churned
CUST1841,Customer_129,Kolkata,45,Male,2025-02-23,1,82193.5,82193.5,Education,313,1,1,2,4,Lost / Churned
CUST1887,Customer_209,Hyderabad,21,Male,2025-09-26,1,277415.76,277415.76,Furniture,98,3,1,4,8,Loyal High-Value
CUST1890,Customer_277,Gaya,21,Male,2025-03-25,1,129500.85,129500.85,Furniture,283,1,1,3,5,Needs Attention
CUST1906,Customer_76,Hyderabad,36,Male,2025-12-01,1,40714.7,40714.7,Furniture,32,4,1,1,6,Recent Low-Engagement
CUST1928,Customer_17,Mumbai,30,Female,2025-06-26,1,340497.71,340497.71,Electronics,190,2,1,4,7,Needs Attention
CUST1932,Customer_369,Delhi,35,Male,2025-09-20,1,7741.12,7741.12,Electronics,104,3,1,1,5,Recent Low-Engagement
CUST1936,Customer_15,Delhi,59,Male,2025-03-07,1,130702.11,130702.11,Electronics,301,1,1,3,5,Needs Attention
CUST1940,Customer_40,Gaya,48,Male,2025-08-22,1,163606.7,163606.7,Fashion,133,3,1,3,7,Loyal High-Value
CUST1956,Customer_317,Bengaluru,22,Female,2025-12-27,1,110614.05,110614.05,Fashion,6,4,1,2,7,Recent Low-Engagement
CUST1960,Customer_367,Kolkata,44,Male,2025-06-04,1,285213.69,285213.69,Grocery,212,2,1,4,7,Needs Attention
CUST1962,Customer_116,Delhi,23,Male,2025-03-17,1,55802.3,55802.3,Grocery,291,1,1,2,4,Lost / Churned
CUST1987,Customer_35,Kolkata,24,Male,2025-12-29,1,58568.76,58568.76,Electronics,4,4,1,2,7,Recent Low-Engagement
CUST1991,Customer_359,Kolkata,41,Female,2025-06-04,1,126402.03,126402.03,Education,212,2,1,3,6,Needs Attention
CUST1994,Customer_390,Pune,48,Male,2025-12-26,2,238881.24,119440.62,Education,7,4,4,4,12,Champions
CUST1997,Customer_219,Patna,29,Female,2025-11-06,2,136106.62,68053.31,Electronics,57,4,4,3,11,Champions
CUST2003,Customer_48,Mumbai,35,Female,2025-08-01,1,47674.82,47674.82,Grocery,154,3,1,1,5,Recent Low-Engagement
CUST2006,Customer_131,Kolkata,50,Male,2025-04-16,1,3310.72,3310.72,Education,261,2,1,1,4,Lost / Churned
CUST2025,Customer_239,Delhi,37,Female,2025-11-01,1,98774.4,98774.4,Furniture,62,4,1,2,7,Recent Low-Engagement
CUST2027,Customer_458,Gaya,32,Male,2025-06-02,1,121322.16,121322.16,Grocery,214,2,1,3,6,Needs Attention
CUST2031,Customer_309,Gaya,45,Female,2025-02-08,1,34616.52,34616.52,Fashion,328,1,1,1,3,Lost / Churned
CUST2039,Customer_32,Mumbai,31,Male,2025-02-24,1,231048.23,231048.23,Electronics,312,1,1,4,6,Needs Attention
CUST2051,Customer_103,Bengaluru,31,Male,2025-02-09,1,109237.86,109237.86,Grocery,327,1,1,2,4,Lost / Churned
CUST2062,Customer_254,Patna,58,Male,2025-09-09,1,493677.5,493677.5,Education,115,3,1,4,8,Loyal High-Value
CUST2079,Customer_35,Mumbai,44,Male,2025-10-26,1,323841.07,323841.07,Furniture,68,4,1,4,9,Loyal High-Value
CUST2088,Customer_382,Hyderabad,65,Female,2025-04-27,1,24428.2,24428.2,Education,250,2,1,1,4,Lost / Churned
CUST2093,Customer_428,Mumbai,38,Female,2025-04-29,1,121791.05,121791.05,Electronics,248,2,1,3,6,Needs Attention
CUST2094,Customer_165,Hyderabad,54,Female,2025-07-20,1,113543.48,113543.48,Education,166,3,1,3,7,Loyal High-Value
CUST2126,Customer_385,Patna,34,Male,2025-04-14,1,21819.5,21819.5,Grocery,263,2,1,1,4,Lost / Churned
CUST2137,Customer_57,Mumbai,40,Female,2025-04-05,1,91115.3,91115.3,Fashion,272,2,1,2,5,Lost / Churned
CUST2138,Customer_303,Gaya,42,Female,2025-03-09,1,137878.74,137878.74,Grocery,299,1,1,3,5,Needs Attention
CUST2152,Customer_99,Bengaluru,63,Female,2025-09-13,1,96867.4,96867.4,Electronics,111,3,1,2,6,Recent Low-Engagement
CUST2157,Customer_31,Patna,58,Male,2025-03-30,1,86397.04,86397.04,Electronics,278,1,1,2,4,Lost / Churned
CUST2181,Customer_125,Bengaluru,41,Female,2025-09-22,1,22401.12,22401.12,Grocery,102,3,1,1,5,Recent Low-Engagement
CUST2190,Customer_318,Hyderabad,38,Male,2025-05-31,1,75639.4,75639.4,Grocery,216,2,1,2,5,Lost / Churned
CUST2202,Customer_26,Patna,26,Female,2025-07-20,1,80260.42,80260.42,Furniture,166,3,1,2,6,Recent Low-Engagement
CUST2218,Customer_392,Delhi,57,Male,2025-05-26,1,63231.28,63231.28,Furniture,221,2,1,2,5,Lost / Churned
CUST2231,Customer_38,Delhi,51,Male,2025-05-12,1,1144.78,1144.78,Electronics,235,2,1,1,4,Lost / Churned
CUST2236,Customer_173,Pune,64,Male,2025-07-22,1,26010.12,26010.12,Electronics,164,3,1,1,5,Recent Low-Engagement
CUST2242,Customer_331,Delhi,53,Female,2025-11-24,1,349767.9,349767.9,Electronics,39,4,1,4,9,Loyal High-Value
CUST2256,Customer_284,Hyderabad,50,Male,2025-02-20,1,115969.35,115969.35,Fashion,316,1,1,3,5,Needs Attention
CUST2260,Customer_325,Kolkata,54,Male,2025-01-31,1,11539.95,11539.95,Electronics,336,1,1,1,3,Lost / Churned
CUST2286,Customer_298,Patna,39,Female,2025-12-22,1,36304.28,36304.28,Electronics,11,4,1,1,6,Recent Low-Engagement
CUST2290,Customer_195,Mumbai,56,Male,2025-03-17,1,48677.96,48677.96,Education,291,1,1,2,4,Lost / Churned
CUST2295,Customer_319,Mumbai,57,Male,2025-11-04,1,238983.9,238983.9,Education,59,4,1,4,9,Loyal High-Value
CUST2343,Customer_39,Patna,28,Male,2026-01-01,1,98080.92,98080.92,Electronics,1,4,1,2,7,Recent Low-Engagement
CUST2345,Customer_302,Bengaluru,48,Male,2025-09-09,1,224371.6,224371.6,Education,115,3,1,4,8,Loyal High-Value
CUST2350,Customer_205,Pune,46,Male,2025-11-08,1,101171.88,101171.88,Electronics,55,4,1,2,7,Recent Low-Engagement
CUST2364,Customer_290,Hyderabad,34,Female,2025-07-22,1,83149.52,83149.52,Grocery,164,3,1,2,6,Recent Low-Engagement
CUST2369,Customer_259,Mumbai,56,Male,2025-07-29,1,64307.52,64307.52,Furniture,157,3,1,2,6,Recent Low-Engagement
CUST2378,Customer_95,Hyderabad,53,Male,2025-07-08,1,19026.35,19026.35,Fashion,178,3,1,1,5,Recent Low-Engagement
CUST2384,Customer_365,Gaya,49,Male,2025-02-10,1,30394.74,30394.74,Electronics,326,1,1,1,3,Lost / Churned
CUST2394,Customer_293,Patna,27,Male,2025-06-30,1,299334.78,299334.78,Grocery,186,2,1,4,7,Needs Attention
CUST2403,Customer_258,Pune,22,Male,2025-05-17,1,237978.32,237978.32,Electronics,230,2,1,4,7,Needs Attention
CUST2411,Customer_292,Mumbai,47,Female,2025-01-15,1,184045.4,184045.4,Electronics,352,1,1,3,5,Needs Attention
CUST2418,Customer_425,Gaya,57,Male,2025-10-18,1,93055.86,93055.86,Furniture,76,4,1,2,7,Recent Low-Engagement
CUST2423,Customer_376,Hyderabad,23,Male,2025-11-20,1,113778.84,113778.84,Electronics,43,4,1,3,8,Loyal High-Value
CUST2428,Customer_127,Mumbai,52,Female,2025-12-16,1,48123.87,48123.87,Education,17,4,1,2,7,Recent Low-Engagement
CUST2448,Customer_444,Kolkata,59,Female,2025-02-26,1,148803.66,148803.66,Furniture,310,1,1,3,5,Needs Attention
CUST2457,Customer_462,Kolkata,51,Male,2025-01-30,1,43633.34,43633.34,Electronics,337,1,1,1,3,Lost / Churned
CUST2463,Customer_390,Bengaluru,25,Male,2025-04-04,1,248328.55,248328.55,Electronics,273,1,1,4,6,Needs Attention
CUST2480,Customer_491,Gaya,59,Female,2025-03-12,1,20740.93,20740.93,Fashion,296,1,1,1,3,Lost / Churned
CUST2482,Customer_183,Mumbai,65,Male,2025-04-10,1,354730.14,354730.14,Education,267,2,1,4,7,Needs Attention
CUST2515,Customer_470,Kolkata,65,Female,2025-12-09,3,431192.86,143730.95333333334,Electronics,24,4,4,4,12,Champions
CUST2520,Customer_93,Kolkata,34,Female,2025-01-11,1,141401.85,141401.85,Electronics,356,1,1,3,5,Needs Attention
CUST2537,Customer_32,Bengaluru,30,Female,2025-05-27,1,1005.21,1005.21,Electronics,220,2,1,1,4,Lost / Churned
CUST2542,Customer_219,Hyderabad,43,Male,2025-11-05,1,431463.9,431463.9,Electronics,58,4,1,4,9,Loyal High-Value
CUST2551,Customer_343,Patna,19,Male,2025-01-30,1,61673.9,61673.9,Education,337,1,1,2,4,Lost / Churned
CUST2562,Customer_280,Bengaluru,65,Male,2025-10-22,1,437.34,437.34,Grocery,72,4,1,1,6,Recent Low-Engagement
CUST2565,Customer_360,Hyderabad,52,Female,2025-08-25,1,146098.6,146098.6,Fashion,130,3,1,3,7,Loyal High-Value
CUST2586,Customer_386,Pune,64,Male,2025-07-27,1,84954.25,84954.25,Electronics,159,3,1,2,6,Recent Low-Engagement
CUST2589,Customer_426,Delhi,49,Male,2025-07-13,1,84392.92,84392.92,Electronics,173,3,1,2,6,Recent Low-Engagement
CUST2597,Customer_354,Kolkata,22,Male,2025-08-03,1,287434.35,287434.35,Electronics,152,3,1,4,8,Loyal High-Value
CUST2599,Customer_390,Mumbai,35,Male,2025-02-24,1,134115.7,134115.7,Electronics,312,1,1,3,5,Needs Attention
CUST2604,Customer_356,Kolkata,40,Male,2025-01-24,1,51372.25,51372.25,Electronics,343,1,1,2,4,Lost / Churned
CUST2632,Customer_321,Kolkata,56,Male,2025-01-07,1,67601.66,67601.66,Electronics,360,1,1,2,4,Lost / Churned
CUST2644,Customer_222,Pune,24,Male,2025-07-06,1,175457.4,175457.4,Furniture,180,3,1,3,7,Loyal High-Value
CUST2650,Customer_276,Kolkata,56,Female,2025-08-15,1,162226.4,162226.4,Furniture,140,3,1,3,7,Loyal High-Value
CUST2661,Customer_370,Delhi,41,Male,2025-02-12,1,252904.44,252904.44,Electronics,324,1,1,4,6,Needs Attention
CUST2669,Customer_151,Bengaluru,46,Male,2025-02-07,1,359291.92,359291.92,Electronics,329,1,1,4,6,Needs Attention
CUST2671,Customer_58,Delhi,52,Male,2025-03-23,1,23398.57,23398.57,Fashion,285,1,1,1,3,Lost / Churned
CUST2672,Customer_324,Pune,27,Female,2025-07-04,1,191186.12,191186.12,Electronics,182,2,1,3,6,Needs Attention
CUST2680,Customer_90,Patna,65,Female,2025-07-30,1,124790.55,124790.55,Education,156,3,1,3,7,Loyal High-Value
CUST2687,Customer_190,Hyderabad,64,Female,2025-10-23,1,49496.16,49496.16,Education,71,4,1,2,7,Recent Low-Engagement
CUST2690,Customer_11,Delhi,26,Male,2025-11-16,1,66608.34,66608.34,Education,47,4,1,2,7,Recent Low-Engagement
CUST2697,Customer_155,Hyderabad,49,Male,2025-08-08,1,83144.7,83144.7,Education,147,3,1,2,6,Recent Low-Engagement
CUST2705,Customer_117,Kolkata,55,Male,2025-10-25,1,124270.25,124270.25,Electronics,69,4,1,3,8,Loyal High-Value
CUST2708,Customer_57,Delhi,52,Male,2025-03-21,1,189759.6,189759.6,Education,287,1,1,3,5,Needs Attention
CUST2714,Customer_98,Gaya,58,Female,2025-04-23,1,202444.83,202444.83,Furniture,254,2,1,3,6,Needs Attention
CUST2742,Customer_216,Delhi,22,Female,2025-04-05,1,107330.05,107330.05,Grocery,272,2,1,2,5,Lost / Churned
CUST2744,Customer_300,Bengaluru,28,Male,2025-04-23,1,76084.8,76084.8,Electronics,254,2,1,2,5,Lost / Churned
CUST2757,Customer_366,Patna,55,Male,2025-12-23,1,64048.05,64048.05,Electronics,10,4,1,2,7,Recent Low-Engagement
CUST2777,Customer_417,Gaya,49,Male,2025-02-28,1,174736.89,174736.89,Electronics,308,1,1,3,5,Needs Attention
CUST2779,Customer_336,Patna,44,Female,2025-12-23,1,178648.82,178648.82,Grocery,10,4,1,3,8,Loyal High-Value
CUST2791,Customer_20,Bengaluru,58,Female,2025-12-07,1,246944.64,246944.64,Electronics,26,4,1,4,9,Loyal High-Value
CUST2793,Customer_462,Gaya,32,Female,2025-09-23,1,115263.96,115263.96,Electronics,101,3,1,3,7,Loyal High-Value
CUST2794,Customer_98,Patna,31,Female,2025-12-18,2,284872.06,142436.03,Electronics,15,4,4,4,12,Champions
CUST2796,Customer_471,Patna,29,Male,2025-09-18,1,147307.52,147307.52,Education,106,3,1,3,7,Loyal High-Value
CUST2804,Customer_115,Pune,32,Female,2025-04-03,1,90508.14,90508.14,Electronics,274,1,1,2,4,Lost / Churned
CUST2812,Customer_249,Gaya,55,Male,2025-05-29,1,767.61,767.61,Furniture,218,2,1,1,4,Lost / Churned
CUST2827,Customer_287,Hyderabad,35,Male,2025-08-01,1,84805.75,84805.75,Education,154,3,1,2,6,Recent Low-Engagement
CUST2832,Customer_204,Pune,22,Male,2025-02-13,1,162512.76,162512.76,Furniture,323,1,1,3,5,Needs Attention
CUST2834,Customer_98,Kolkata,41,Male,2025-04-12,1,270821.34,270821.34,Grocery,265,2,1,4,7,Needs Attention
CUST2835,Customer_468,Kolkata,41,Male,2025-06-26,1,65413.26,65413.26,Furniture,190,2,1,2,5,Lost / Churned
CUST2836,Customer_434,Patna,46,Female,2025-11-07,1,144754.88,144754.88,Fashion,56,4,1,3,8,Loyal High-Value
CUST2859,Customer_395,Kolkata,21,Female,2025-12-11,1,161565.2,161565.2,Grocery,22,4,1,3,8,Loyal High-Value
CUST2862,Customer_122,Bengaluru,25,Male,2025-09-21,1,74724.16,74724.16,Grocery,103,3,1,2,6,Recent Low-Engagement
CUST2863,Customer_375,Patna,34,Female,2025-02-10,1,132772.22,132772.22,Electronics,326,1,1,3,5,Needs Attention
CUST2867,Customer_221,Hyderabad,61,Male,2025-12-27,1,257759.6,257759.6,Fashion,6,4,1,4,9,Loyal High-Value
CUST2870,Customer_495,Patna,33,Male,2025-10-15,2,211801.52,105900.76,Education,79,4,4,3,11,Champions
CUST2871,Customer_8,Delhi,33,Female,2025-09-18,1,147500.76,147500.76,Furniture,106,3,1,3,7,Loyal High-Value
CUST2903,Customer_122,Mumbai,31,Female,2025-10-04,1,107774.59,107774.59,Education,90,3,1,2,6,Recent Low-Engagement
CUST2904,Customer_269,Bengaluru,60,Female,2025-08-13,1,412680.6,412680.6,Fashion,142,3,1,4,8,Loyal High-Value
CUST2921,Customer_420,Patna,27,Male,2025-03-12,1,139876.08,139876.08,Fashion,296,1,1,3,5,Needs Attention
CUST2935,Customer_26,Delhi,28,Male,2025-02-04,1,30364.5,30364.5,Electronics,332,1,1,1,3,Lost / Churned
CUST2953,Customer_435,Kolkata,41,Female,2025-02-24,1,220868.4,220868.4,Grocery,312,1,1,4,6,Needs Attention
CUST2956,Customer_177,Patna,39,Male,2025-10-04,1,132611.45,132611.45,Furniture,90,3,1,3,7,Loyal High-Value
CUST2967,Customer_483,Mumbai,52,Female,2025-07-11,1,36396.7,36396.7,Furniture,175,3,1,1,5,Recent Low-Engagement
CUST2969,Customer_287,Kolkata,59,Male,2025-05-04,1,237972.6,237972.6,Grocery,243,2,1,4,7,Needs Attention
CUST2997,Customer_181,Hyderabad,23,Female,2025-09-14,1,34192.3,34192.3,Electronics,110,3,1,1,5,Recent Low-Engagement
CUST3001,Customer_341,Gaya,32,Male,2025-09-07,2,14067.77,7033.885,Education,117,3,4,1,8,Needs Attention
CUST3002,Customer_57,Mumbai,61,Male,2025-11-19,1,219937.28,219937.28,Education,44,4,1,4,9,Loyal High-Value
CUST3004,Customer_162,Pune,46,Female,2025-05-08,1,3971.35,3971.35,Fashion,239,2,1,1,4,Lost / Churned
CUST3006,Customer_256,Patna,58,Male,2025-09-22,2,351367.34,175683.67,Furniture,102,3,4,4,11,Champions
CUST3023,Customer_223,Gaya,43,Female,2025-09-07,1,368979.6,368979.6,Fashion,117,3,1,4,8,Loyal High-Value
CUST3024,Customer_332,Patna,22,Female,2025-05-27,1,242884.38,242884.38,Electronics,220,2,1,4,7,Needs Attention
CUST3044,Customer_27,Bengaluru,65,Female,2025-05-06,1,318554.4,318554.4,Grocery,241,2,1,4,7,Needs Attention
